Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,22uF,
"C10, C3",0805,2,10uF,
"C11, C12, C2, C5, C6, C8, C9",0805,7,100nF,
C4,0805,1,C_Small,
J1,Connector_horizontal_amiga1.04_GREEN,1,Front_Connector,
J2,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05,
MINIUSB,USB_Mini-B_Wuerth_65100516121_Horizontal,1,USB_Mini-B_Wuerth,
"R17, R18, R19",0603,3,10k,
"RN1, RN2, RN3, RN4",R_Array_Convex_4x0603,4,33r,
"SRAM_1, SRAM_2",TSOP-I-32_18.4x8mm_P0.5mm,2,CY7C109D,
U1,TQFP-64_10x10mm_P0.5mm,1,XC9572XL-xxVQx64,
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
